time,ch0,ch1
00:00:00.132.000,-0.0488,1.6821
00:00:00.132.250,-0.0586,1.6919
00:00:00.132.500,-0.0586,1.7334
00:00:00.132.750,-0.0586,1.7529
00:00:00.133.000,-0.1099,1.7822
00:00:00.133.250,-0.1001,1.7920
00:00:00.133.500,-0.1489,1.7920
00:00:00.133.750,-0.1587,1.6919
00:00:00.134.000,-0.1880,1.5820
00:00:00.134.250,-0.1978,1.4844
00:00:00.134.500,-0.1978,1.3843
00:00:00.134.750,-0.2295,1.2549
00:00:00.135.000,-0.2490,1.1255
00:00:00.135.250,-0.2490,0.9863
00:00:00.135.500,-0.2881,0.8374
00:00:00.135.750,-0.3174,0.6763
00:00:00.136.000,-0.3369,0.5176
00:00:00.136.250,-0.3589,0.3687
00:00:00.136.500,-0.3687,0.2197
00:00:00.136.750,-0.3687,0.0708
00:00:00.137.000,-0.4077,-0.1001
00:00:00.137.250,-0.3979,-0.2490
00:00:00.137.500,-0.4175,-0.3784
00:00:00.137.750,-0.3784,-0.5176
00:00:00.138.000,-0.3369,-0.6372
00:00:00.138.250,-0.3076,-0.7666
00:00:00.138.500,-0.2393,-0.8643
00:00:00.138.750,-0.1782,-0.9644
00:00:00.139.000,-0.1392,-1.0449
00:00:00.139.250,-0.1001,-1.1230
00:00:00.139.500,-0.0684,-1.1841
00:00:00.139.750,-0.0195,-1.2427
00:00:00.140.000,0.0000,-1.3135
00:00:00.140.250,0.0195,-1.3623
00:00:00.140.500,0.0195,-1.4233
00:00:00.140.750,0.0513,-1.4722
00:00:00.141.000,0.0708,-1.5234
00:00:00.141.250,0.0806,-1.5625
00:00:00.141.500,0.0903,-1.6016
00:00:00.141.750,0.0903,-1.6309
00:00:00.142.000,0.1099,-1.6821
00:00:00.142.250,0.1294,-1.7114
00:00:00.142.500,0.1294,-1.7310
00:00:00.142.750,0.1196,-1.7822
00:00:00.143.000,0.1294,-1.8213
00:00:00.143.250,0.1489,-1.8213
00:00:00.143.500,0.2002,-1.7822
00:00:00.143.750,0.2197,-1.6919
00:00:00.144.000,0.2295,-1.6113
00:00:00.144.250,0.2393,-1.5015
00:00:00.144.500,0.2783,-1.3940
00:00:00.144.750,0.2686,-1.2842
00:00:00.145.000,0.3003,-1.1646
00:00:00.145.250,0.3296,-1.0156
00:00:00.145.500,0.3589,-0.8643
00:00:00.145.750,0.3979,-0.6860
00:00:00.146.000,0.3784,-0.5273
00:00:00.146.250,0.4175,-0.3687
00:00:00.146.500,0.4590,-0.2295
00:00:00.146.750,0.4688,-0.0684
00:00:00.147.000,0.4785,0.0806
00:00:00.147.250,0.4883,0.2197
00:00:00.147.500,0.4785,0.3589
00:00:00.147.750,0.4688,0.4785
00:00:00.148.000,0.4492,0.5884
00:00:00.148.250,0.4175,0.7080
00:00:00.148.500,0.3979,0.8179
00:00:00.148.750,0.3296,0.9155
00:00:00.149.000,0.2783,0.9863
00:00:00.149.250,0.2197,1.0962
00:00:00.149.500,0.1807,1.1548
00:00:00.149.750,0.1392,1.2256
00:00:00.150.000,0.1099,1.2939
00:00:00.150.250,0.0806,1.3550
00:00:00.150.500,0.0513,1.4136
00:00:00.150.750,0.0000,1.4648
00:00:00.151.000,0.0000,1.5234
00:00:00.151.250,-0.0293,1.5527
00:00:00.151.500,-0.0293,1.6040
00:00:00.151.750,-0.0391,1.6333
00:00:00.152.000,-0.0586,1.6724
00:00:00.152.250,-0.0586,1.6821
00:00:00.152.500,-0.0684,1.7114
00:00:00.152.750,-0.0684,1.7627
00:00:00.153.000,-0.1099,1.7822
00:00:00.153.250,-0.1196,1.7920
00:00:00.153.500,-0.1294,1.7920
00:00:00.153.750,-0.1392,1.6528
00:00:00.154.000,-0.1782,1.5723
00:00:00.154.250,-0.1782,1.4746
00:00:00.154.500,-0.2075,1.3745
00:00:00.154.750,-0.2173,1.2549
00:00:00.155.000,-0.2295,1.1255
00:00:00.155.250,-0.2588,0.9961
00:00:00.155.500,-0.2979,0.8276
00:00:00.155.750,-0.3174,0.6763
00:00:00.156.000,-0.3076,0.5273
00:00:00.156.250,-0.3687,0.4175
00:00:00.156.500,-0.3979,0.2588
00:00:00.156.750,-0.3882,0.0610
00:00:00.157.000,-0.3882,-0.1099
00:00:00.157.250,-0.3882,-0.2686
00:00:00.157.500,-0.3979,-0.4272
00:00:00.157.750,-0.3589,-0.5762
00:00:00.158.000,-0.3369,-0.7056
00:00:00.158.250,-0.2588,-0.8350
00:00:00.158.500,-0.1978,-0.8765
00:00:00.158.750,-0.1880,-0.9448
00:00:00.159.000,-0.1489,-1.0254
00:00:00.159.250,-0.1001,-1.1035
00:00:00.159.500,-0.0586,-1.1841
00:00:00.159.750,-0.0586,-1.2524
00:00:00.160.000,0.0000,-1.3135
00:00:00.160.250,0.0098,-1.3721
00:00:00.160.500,0.0195,-1.4233
00:00:00.160.750,0.0415,-1.4819
00:00:00.161.000,0.0610,-1.5332
00:00:00.161.250,0.0806,-1.5723
00:00:00.161.500,0.0708,-1.6113
00:00:00.161.750,0.1001,-1.6406
00:00:00.162.000,0.1099,-1.6821
00:00:00.162.250,0.1196,-1.7212
00:00:00.162.500,0.1392,-1.7407
00:00:00.162.750,0.1196,-1.7700
00:00:00.163.000,0.1196,-1.8115
00:00:00.163.250,0.1587,-1.8213
00:00:00.163.500,0.2197,-1.8018
00:00:00.163.750,0.2002,-1.7310
00:00:00.164.000,0.2588,-1.6309
00:00:00.164.250,0.2588,-1.5332
00:00:00.164.500,0.2783,-1.4038
00:00:00.164.750,0.3003,-1.2939
00:00:00.165.000,0.3198,-1.1646
00:00:00.165.250,0.3198,-1.0156
00:00:00.165.500,0.3491,-0.8545
00:00:00.165.750,0.3687,-0.6860
00:00:00.166.000,0.4077,-0.5176
00:00:00.166.250,0.3882,-0.3687
