time,ch0,ch1
00:00:00.139.860,0.3394,-0.7153
00:00:00.140.193,0.3687,-0.5078
00:00:00.140.526,0.3784,-0.3271
00:00:00.140.859,0.4175,-0.1392
00:00:00.141.192,0.4688,0.0293
00:00:00.141.525,0.4883,0.1904
00:00:00.141.858,0.4980,0.3687
00:00:00.142.191,0.4688,0.4883
00:00:00.142.524,0.4590,0.6177
00:00:00.142.857,0.3979,0.7471
00:00:00.143.190,0.3296,0.8569
00:00:00.143.523,0.2588,0.9668
00:00:00.143.856,0.2100,1.0547
00:00:00.144.189,0.1807,1.1450
00:00:00.144.522,0.1099,1.2256
00:00:00.144.855,0.0708,1.2842
00:00:00.145.188,0.0708,1.3452
00:00:00.145.521,0.0293,1.3843
00:00:00.145.854,0.0293,1.4429
00:00:00.146.187,0.0000,1.4648
00:00:00.146.520,0.0000,1.5137
00:00:00.146.853,0.0000,1.5527
00:00:00.147.186,0.0000,1.6138
00:00:00.147.519,-0.0293,1.6235
00:00:00.147.852,-0.1001,1.5942
00:00:00.148.185,-0.1196,1.4526
00:00:00.148.518,-0.1196,1.3452
00:00:00.148.851,-0.1685,1.2158
00:00:00.149.184,-0.1685,1.0767
00:00:00.149.517,-0.2075,0.8960
00:00:00.149.850,-0.2490,0.6982
00:00:00.150.183,-0.2979,0.4785
00:00:00.150.516,-0.3076,0.3003
00:00:00.150.849,-0.3369,0.1294
00:00:00.151.182,-0.3784,-0.0391
00:00:00.151.515,-0.3979,-0.1978
00:00:00.151.848,-0.3979,-0.3687
00:00:00.152.181,-0.3882,-0.4980
00:00:00.152.514,-0.3271,-0.6274
00:00:00.152.847,-0.2588,-0.7471
00:00:00.153.180,-0.1978,-0.8765
00:00:00.153.513,-0.1392,-0.9644
00:00:00.153.846,-0.0879,-1.0547
00:00:00.154.179,-0.0684,-1.1450
00:00:00.154.512,-0.0098,-1.2231
00:00:00.154.845,-0.0098,-1.3037
00:00:00.155.178,0.0098,-1.3525
00:00:00.155.511,0.0513,-1.4038
00:00:00.155.844,0.0610,-1.4722
00:00:00.156.177,0.0610,-1.5112
00:00:00.156.510,0.0708,-1.5430
00:00:00.156.843,0.1001,-1.5918
00:00:00.157.176,0.1001,-1.6211
00:00:00.157.509,0.1001,-1.6528
00:00:00.157.842,0.1709,-1.6211
00:00:00.158.175,0.1587,-1.4819
00:00:00.158.508,0.2100,-1.3525
00:00:00.158.841,0.2490,-1.2329
00:00:00.159.174,0.2393,-1.0938
00:00:00.159.507,0.3003,-0.9253
00:00:00.159.840,0.3491,-0.7251
00:00:00.160.173,0.3589,-0.5176
00:00:00.160.506,0.3784,-0.3271
00:00:00.160.839,0.4297,-0.1489
00:00:00.161.172,0.4492,0.0195
00:00:00.161.505,0.4785,0.2002
00:00:00.161.838,0.4980,0.3394
00:00:00.162.171,0.4688,0.4785
00:00:00.162.504,0.4590,0.5981
00:00:00.162.837,0.4077,0.7275
00:00:00.163.170,0.3394,0.8472
00:00:00.163.503,0.2686,0.9570
00:00:00.163.836,0.2295,1.0645
00:00:00.164.169,0.1807,1.1353
00:00:00.164.502,0.1392,1.2256
00:00:00.164.835,0.0903,1.2842
00:00:00.165.168,0.0610,1.3452
00:00:00.165.501,0.0610,1.4038
00:00:00.165.834,0.0098,1.4429
00:00:00.166.167,0.0293,1.4941
00:00:00.166.500,0.0098,1.5332
00:00:00.166.833,0.0000,1.5625
00:00:00.167.166,-0.0098,1.6040
00:00:00.167.499,-0.0488,1.6235
00:00:00.167.832,-0.0781,1.5820
00:00:00.168.165,-0.1294,1.4526
00:00:00.168.498,-0.1392,1.3354
00:00:00.168.831,-0.1587,1.2158
00:00:00.169.164,-0.1685,1.0864
00:00:00.169.497,-0.2295,0.8960
00:00:00.169.830,-0.2588,0.7080
00:00:00.170.163,-0.2979,0.4980
00:00:00.170.496,-0.2979,0.3198
00:00:00.170.829,-0.3467,0.1489
00:00:00.171.162,-0.3589,-0.0293
00:00:00.171.495,-0.3784,-0.1880
00:00:00.171.828,-0.3979,-0.3687
00:00:00.172.161,-0.3687,-0.4980
00:00:00.172.494,-0.3369,-0.6177
00:00:00.172.827,-0.2686,-0.7349
00:00:00.173.160,-0.1978,-0.8643
00:00:00.173.493,-0.1489,-0.9546
00:00:00.173.826,-0.1001,-1.0547
00:00:00.174.159,-0.0586,-1.1450
00:00:00.174.492,-0.0293,-1.2134
00:00:00.174.825,-0.0098,-1.3037
00:00:00.175.158,0.0098,-1.3525
00:00:00.175.491,0.0415,-1.4136
00:00:00.175.824,0.0708,-1.4526
00:00:00.176.157,0.0513,-1.5015
00:00:00.176.490,0.0806,-1.5332
00:00:00.176.823,0.0610,-1.5723
00:00:00.177.156,0.0708,-1.6211
00:00:00.177.489,0.1001,-1.6309
00:00:00.177.822,0.1709,-1.6113
00:00:00.178.155,0.2100,-1.4819
00:00:00.178.488,0.2100,-1.3721
00:00:00.178.821,0.2295,-1.2427
00:00:00.179.154,0.2686,-1.1133
00:00:00.179.487,0.3003,-0.9351
00:00:00.179.820,0.3198,-0.7471
00:00:00.180.153,0.3589,-0.5371
00:00:00.180.486,0.3882,-0.3467
00:00:00.180.819,0.4297,-0.1685
00:00:00.181.152,0.4688,0.0098
00:00:00.181.485,0.4785,0.1709
00:00:00.181.818,0.4785,0.3394
00:00:00.182.151,0.4883,0.4785
00:00:00.182.484,0.4492,0.6177
00:00:00.182.817,0.4077,0.7275
00:00:00.183.150,0.3198,0.8472
00:00:00.183.483,0.2881,0.9570
00:00:00.183.816,0.2197,1.0449
00:00:00.184.149,0.2002,1.1353
00:00:00.184.482,0.1587,1.2158
00:00:00.184.815,0.0903,1.2646
00:00:00.185.148,0.0708,1.3550
00:00:00.185.481,0.0513,1.4038
00:00:00.185.814,0.0098,1.4429
00:00:00.186.147,0.0000,1.4941
00:00:00.186.480,-0.0098,1.5430
00:00:00.186.813,-0.0098,1.5527
00:00:00.187.146,-0.0195,1.6138
00:00:00.187.479,-0.0391,1.6235
00:00:00.187.812,-0.0781,1.5820
00:00:00.188.145,-0.1001,1.4746
00:00:00.188.478,-0.1489,1.3550
00:00:00.188.811,-0.1489,1.2451
00:00:00.189.144,-0.1685,1.0864
00:00:00.189.477,-0.1978,0.9155
00:00:00.189.810,-0.2490,0.7275
00:00:00.190.143,-0.2881,0.5273
00:00:00.190.476,-0.2979,0.3394
00:00:00.190.809,-0.3589,0.1709
00:00:00.191.142,-0.3589,-0.0098
00:00:00.191.475,-0.3784,-0.1880
00:00:00.191.808,-0.3882,-0.3369
00:00:00.192.141,-0.3369,-0.4883
00:00:00.192.474,-0.3271,-0.6177
00:00:00.192.807,-0.2490,-0.7568
00:00:00.193.140,-0.2075,-0.8643
00:00:00.193.473,-0.1489,-0.9741
00:00:00.193.806,-0.1099,-1.0742
00:00:00.194.139,-0.0586,-1.1548
00:00:00.194.472,-0.0293,-1.2427
00:00:00.194.805,-0.0098,-1.3037
00:00:00.195.138,0.0000,-1.3623
00:00:00.195.471,0.0415,-1.4136
00:00:00.195.804,0.0513,-1.4624
00:00:00.196.137,0.0610,-1.5015
00:00:00.196.470,0.0708,-1.5527
00:00:00.196.803,0.0806,-1.5820
00:00:00.197.136,0.0708,-1.6113
00:00:00.197.469,0.1001,-1.6406
00:00:00.197.802,0.1587,-1.6309
00:00:00.198.135,0.1587,-1.5015
00:00:00.198.468,0.2002,-1.3940
00:00:00.198.801,0.2197,-1.2427
00:00:00.199.134,0.2490,-1.1035
00:00:00.199.467,0.2783,-0.9546
00:00:00.199.800,0.3198,-0.7471
00:00:00.200.133,0.3491,-0.5469
00:00:00.200.466,0.3784,-0.3467
00:00:00.200.799,0.4077,-0.1782
00:00:00.201.132,0.4492,0.0000
00:00:00.201.465,0.4785,0.1709
00:00:00.201.798,0.4785,0.3296
00:00:00.202.131,0.4785,0.4688
00:00:00.202.464,0.4590,0.5884
00:00:00.202.797,0.3979,0.7178
00:00:00.203.130,0.3296,0.8374
00:00:00.203.463,0.2881,0.9473
00:00:00.203.796,0.2295,1.0547
00:00:00.204.129,0.1587,1.1353
00:00:00.204.462,0.1196,1.2158
00:00:00.204.795,0.0903,1.2744
00:00:00.205.128,0.0513,1.3452
00:00:00.205.461,0.0415,1.4038
00:00:00.205.794,0.0000,1.4526
00:00:00.206.127,0.0000,1.4941
